+0 : No exe options
+1 : Increases acquisition rate of Zen after Hunting monster +40%
+2 : Defence success rate +10%
+4 : Reflect damage +5%
+8 : Damage decrease +4%
+16 : Increase Max mana +4%
+32 : Increase Max HP +4%
+63 : To all the above listed options

Command/Group/Item ID/Options/    Name     
/item 10 31 0 0 0 0 0 0 0 0    Sylphid Ray Gloves
/item 10 32 0 0 0 0 0 0 0 0    Volcano Gloves
/item 10 33 0 0 0 0 0 0 0 0    Sunlight Gloves
/item 10 34 0 0 0 0 0 0 0 0    Ashcrow Gloves
/item 10 35 0 0 0 0 0 0 0 0    Eclipse Gloves
/item 10 36 0 0 0 0 0 0 0 0    Iris Gloves
/item 10 37 0 0 0 0 0 0 0 0    Valiant Gloves
/item 10 38 0 0 0 0 0 0 0 0    Glorious Gloves
/item 10 39 0 0 0 0 0 0 0 0    Violent Wind Gloves
/item 10 40 0 0 0 0 0 0 0 0    Red Wing Gloves
/item 10 41 0 0 0 0 0 0 0 0    Ancient Gloves
/item 10 42 0 0 0 0 0 0 0 0    Demonic Gloves
/item 10 43 0 0 0 0 0 0 0 0    Storm Blitz Gloves
/item 10 45 0 0 0 0 0 0 0 0    Titan  Gloves
/item 10 46 0 0 0 0 0 0 0 0    Brave Gloves
/item 10 47 0 0 0 0 0 0 0 0    Phantom  Gloves
/item 10 48 0 0 0 0 0 0 0 0    Destroy Gloves
/item 10 49 0 0 0 0 0 0 0 0    Seraphim Gloves
/item 10 50 0 0 0 0 0 0 0 0    Divine Gloves
/item 10 51 0 0 0 0 0 0 0 0    Royal Gloves
/item 10 52 0 0 0 0 0 0 0 0    Hades Gloves
/item 10 62 0 0 0 0 0 0 0 0    Gloves 62
/item 10 63 0 0 0 0 0 0 0 0    Gloves 63
/item 10 64 0 0 0 0 0 0 0 0    Gloves 64
/item 10 65 0 0 0 0 0 0 0 0    Gloves 65
/item 10 66 0 0 0 0 0 0 0 0    Gloves 66
/item 10 67 0 0 0 0 0 0 0 0    Gloves 67
/item 10 68 0 0 0 0 0 0 0 0    Gloves 68
/item 10 69 0 0 0 0 0 0 0 0    Gloves 69
/item 10 70 0 0 0 0 0 0 0 0    Gloves 70
/item 10 71 0 0 0 0 0 0 0 0    Gloves 71
Boots    
/item 11 0 0 0 0 0 0 0 0 0     Bronze Boots
/item 11 1 0 0 0 0 0 0 0 0    Dragon Boots
/item 11 2 0 0 0 0 0 0 0 0    Pad Boots
/item 11 3 0 0 0 0 0 0 0 0    Legendary Boots
/item 11 4 0 0 0 0 0 0 0 0    Bone Boots
/item 11 5 0 0 0 0 0 0 0 0    Leather Boots
/item 11 6 0 0 0 0 0 0 0 0    Scale Boots
/item 11 7 0 0 0 0 0 0 0 0    Sphinx Boots
/item 11 8 0 0 0 0 0 0 0 0    Brass Boots
/item 11 9 0 0 0 0 0 0 0 0    Plate Boots
/item 11 10 0 0 0 0 0 0 0 0    Vine Boots
/item 11 11 0 0 0 0 0 0 0 0    Silk Boots
/item 11 12 0 0 0 0 0 0 0 0    Wind Boots
/item 11 13 0 0 0 0 0 0 0 0    Spirit Boots
/item 11 14 0 0 0 0 0 0 0 0    Guardian Boots
/item 11 15 0 0 0 0 0 0 0 0    Storm Crow Boots
/item 11 16 0 0 0 0 0 0 0 0    Black Dragon Boots
/item 11 17 0 0 0 0 0 0 0 0    Dark Phoenix Boots
/item 11 18 0 0 0 0 0 0 0 0    Grand Soul Boots
/item 11 19 0 0 0 0 0 0 0 0    Divine Boots
/item 11 20 0 0 0 0 0 0 0 0    Thunder Hawk Boots
/item 11 21 0 0 0 0 0 0 0 0    Great Dragon Boots
/item 11 22 0 0 0 0 0 0 0 0    Dark Soul Boots
/item 11 23 0 0 0 0 0 0 0 0    Hurricane Boots
/item 11 24 0 0 0 0 0 0 0 0    Red Spirit Boots
/item 11 25 0 0 0 0 0 0 0 0    Light Plate Boots
/item 11 26 0 0 0 0 0 0 0 0    Adamantine Boots
/item 11 27 0 0 0 0 0 0 0 0    Dark Steel Boots
/item 11 28 0 0 0 0 0 0 0 0    Dark Master Boots
/item 11 29 0 0 0 0 0 0 0 0    Dragon Knight Boots
/item 11 30 0 0 0 0 0 0 0 0    Venom Mist Boots
/item 11 31 0 0 0 0 0 0 0 0    Sylphid Ray Boots
/item 11 32 0 0 0 0 0 0 0 0    Volcano Boots
/item 11 33 0 0 0 0 0 0 0 0    Sunlight Boots
/item 11 34 0 0 0 0 0 0 0 0    Ashcrow Boots
/item 11 35 0 0 0 0 0 0 0 0    Eclipse Boots
